experiment_id,ablation,seed,target,n_features,pr_auc,roc_auc,pos_test
ablation|rt_new_stress|ab4_propagation_without_peerctx|seed505,ab4_propagation_without_peerctx,505,rt_new_stress,53,0.10134112386577808,0.6329465776293822,20
ablation|rt_new_stress|ab5_individual_plus_propagation|seed505,ab5_individual_plus_propagation,505,rt_new_stress,53,0.10134112386577808,0.6329465776293822,20
ablation|rt_new_stress|ab6_propagation_alone|seed505,ab6_propagation_alone,505,rt_new_stress,10,0.0034704582709459324,0.6600354757929883,20
ablation|rt_new_stress|ab7_B_minus_peerctx|seed505,ab7_B_minus_peerctx,505,rt_new_stress,43,0.08702921156293432,0.7812938230383972,20
ablation|rt_new_stress|ab1_B|seed606,ab1_B,606,rt_new_stress,51,0.1572238110652018,0.6970769016826589,15
ablation|rt_new_stress|ab2_B_plus_propagation|seed606,ab2_B_plus_propagation,606,rt_new_stress,61,0.1590095550893821,0.7626811291892645,15
ablation|rt_new_stress|ab3_B_peer_context_only|seed606,ab3_B_peer_context_only,606,rt_new_stress,51,0.08999784521849813,0.7140981782784036,15
ablation|rt_new_stress|ab4_propagation_without_peerctx|seed606,ab4_propagation_without_peerctx,606,rt_new_stress,53,0.11729677201963366,0.6792407175636213,15
ablation|rt_new_stress|ab5_individual_plus_propagation|seed606,ab5_individual_plus_propagation,606,rt_new_stress,53,0.11729677201963366,0.6792407175636213,15
ablation|rt_new_stress|ab6_propagation_alone|seed606,ab6_propagation_alone,606,rt_new_stress,10,0.002668411993444868,0.7353664302600473,15
ablation|rt_new_stress|ab7_B_minus_peerctx|seed606,ab7_B_minus_peerctx,606,rt_new_stress,43,0.12638168369371058,0.7135808649701015,15
ablation|rt_new_stress|ab1_B|seed707,ab1_B,707,rt_new_stress,51,0.06896318784183786,0.498998998998999,12
ablation|rt_new_stress|ab2_B_plus_propagation|seed707,ab2_B_plus_propagation,707,rt_new_stress,61,0.20112134110646102,0.7660542486931375,12
ablation|rt_new_stress|ab3_B_peer_context_only|seed707,ab3_B_peer_context_only,707,rt_new_stress,51,0.06896318784183786,0.498998998998999,12
ablation|rt_new_stress|ab4_propagation_without_peerctx|seed707,ab4_propagation_without_peerctx,707,rt_new_stress,53,0.20345862446164645,0.6173812701590479,12
ablation|rt_new_stress|ab5_individual_plus_propagation|seed707,ab5_individual_plus_propagation,707,rt_new_stress,53,0.20345862446164645,0.6173812701590479,12
ablation|rt_new_stress|ab6_propagation_alone|seed707,ab6_propagation_alone,707,rt_new_stress,10,0.001924030371700964,0.6770346735624512,12
ablation|rt_new_stress|ab7_B_minus_peerctx|seed707,ab7_B_minus_peerctx,707,rt_new_stress,43,0.18827069801808272,0.4980605605605606,12
ablation|rt_new_stress|ab1_B|seed808,ab1_B,808,rt_new_stress,51,0.06930313232762841,0.6642821368948246,20
ablation|rt_new_stress|ab2_B_plus_propagation|seed808,ab2_B_plus_propagation,808,rt_new_stress,61,0.09790385991462622,0.7210141903171954,20
ablation|rt_new_stress|ab3_B_peer_context_only|seed808,ab3_B_peer_context_only,808,rt_new_stress,51,0.12107114165848433,0.7173121869782971,20
ablation|rt_new_stress|ab4_propagation_without_peerctx|seed808,ab4_propagation_without_peerctx,808,rt_new_stress,53,0.12631295082371716,0.7211331385642739,20
ablation|rt_new_stress|ab5_individual_plus_propagation|seed808,ab5_individual_plus_propagation,808,rt_new_stress,53,0.12631295082371716,0.7211331385642739,20
ablation|rt_new_stress|ab6_propagation_alone|seed808,ab6_propagation_alone,808,rt_new_stress,10,0.0017812394852427566,0.45380008347245404,20
ablation|rt_new_stress|ab7_B_minus_peerctx|seed808,ab7_B_minus_peerctx,808,rt_new_stress,43,0.12107114165848433,0.7173121869782971,20
ablation|rt_new_stress|ab1_B|seed909,ab1_B,909,rt_new_stress,51,0.2540916732100891,0.5661528685981576,28
ablation|rt_new_stress|ab2_B_plus_propagation|seed909,ab2_B_plus_propagation,909,rt_new_stress,61,0.15638980781183354,0.6063627631139326,28
ablation|rt_new_stress|ab3_B_peer_context_only|seed909,ab3_B_peer_context_only,909,rt_new_stress,51,0.2540916732100891,0.5661528685981576,28
ablation|rt_new_stress|ab4_propagation_without_peerctx|seed909,ab4_propagation_without_peerctx,909,rt_new_stress,53,0.139502439617414,0.5803153787408716,28
ablation|rt_new_stress|ab5_individual_plus_propagation|seed909,ab5_individual_plus_propagation,909,rt_new_stress,53,0.139502439617414,0.5803153787408716,28
ablation|rt_new_stress|ab6_propagation_alone|seed909,ab6_propagation_alone,909,rt_new_stress,10,0.008936181817654196,0.7013552455730038,28
ablation|rt_new_stress|ab7_B_minus_peerctx|seed909,ab7_B_minus_peerctx,909,rt_new_stress,43,0.13950940322296568,0.5959441076798244,28
