experiment_id,seed,spec,model,target,train_weeks,val_weeks,test_weeks,n_features,pos_train,pos_val,pos_test,scoreable,pr_auc_raw,roc_auc_raw,n_unique_raw,pr_auc_cal,roc_auc_cal,n_unique_cal,status
E3|propagation_vulnerability|C2|logreg|seed101,101,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,13,7,4,True,0.007602429048822677,0.9635086695565188,12000.0,0.007602429048822677,0.9635086695565188,11701.0,ok
E3|propagation_vulnerability|C3|lgbm|seed101,101,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,13,7,4,True,0.016311918454967753,0.7481660553517839,485.0,0.016310678039992563,0.7478117705901968,443.0,ok
E3|propagation_vulnerability|C3|logreg|seed101,101,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,13,7,4,True,0.06818759238728751,0.9972490830276759,12000.0,0.06818759238728751,0.9972490830276759,11877.0,ok
E3|propagation_vulnerability|M0|deterministic|seed202,202,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed202,202,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|logreg|seed202,202,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|lgbm|seed202,202,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|logreg|seed202,202,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|lgbm|seed202,202,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|logreg|seed202,202,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|lgbm|seed202,202,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|logreg|seed202,202,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|lgbm|seed202,202,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,23,0,0,False,,,,,,,unscoreable_no_test_positives
