experiment_id,seed,target,spec,model,status,pos_test,pr_auc,roc_auc
E4|rt_new_stress|B|logreg|seed202,202,rt_new_stress,B,logreg,ok,20,0.47530154059263546,0.8233263772954924
E4|rt_new_stress|C|lgbm|seed202,202,rt_new_stress,C,lgbm,ok,20,0.17884393989707525,0.8099207011686143
E4|rt_new_stress|C|logreg|seed202,202,rt_new_stress,C,logreg,ok,20,0.4692571216018425,0.8205008347245409
E4|rt_new_stress|C2|lgbm|seed202,202,rt_new_stress,C2,lgbm,ok,20,0.15333254839836752,0.7744824707846409
E4|rt_new_stress|C2|logreg|seed202,202,rt_new_stress,C2,logreg,ok,20,0.4418884048878531,0.781168614357262
E4|rt_new_stress|C3|lgbm|seed202,202,rt_new_stress,C3,lgbm,ok,20,0.11659358388712472,0.8600146076794657
E4|rt_new_stress|C3|logreg|seed202,202,rt_new_stress,C3,logreg,ok,20,0.48110180916060646,0.822721202003339
,303,propagation_vulnerability,,,unscoreable,0,,
E4|rt_new_stress|A|lgbm|seed303,303,rt_new_stress,A,lgbm,ok,16,0.3166372272944677,0.9265557201268357
E4|rt_new_stress|A|logreg|seed303,303,rt_new_stress,A,logreg,ok,16,0.2970841412927498,0.8127086114819759
E4|rt_new_stress|B|lgbm|seed303,303,rt_new_stress,B,lgbm,ok,16,0.22974669962315117,0.8203151076435247
E4|rt_new_stress|B|logreg|seed303,303,rt_new_stress,B,logreg,ok,16,0.2459290247327036,0.7696668474632843
E4|rt_new_stress|C|lgbm|seed303,303,rt_new_stress,C,lgbm,ok,16,0.22974669962315117,0.8203151076435247
E4|rt_new_stress|C|logreg|seed303,303,rt_new_stress,C,logreg,ok,16,0.24555201707361807,0.7435799816421895
E4|rt_new_stress|C2|lgbm|seed303,303,rt_new_stress,C2,lgbm,ok,16,0.22657659912018943,0.8199813292723631
E4|rt_new_stress|C2|logreg|seed303,303,rt_new_stress,C2,logreg,ok,16,0.2653372410333986,0.761249374165554
E4|rt_new_stress|C3|lgbm|seed303,303,rt_new_stress,C3,lgbm,ok,16,0.22974669962315117,0.8203151076435247
E4|rt_new_stress|C3|logreg|seed303,303,rt_new_stress,C3,logreg,ok,16,0.24433136128266664,0.7283617740320427
,404,propagation_vulnerability,,,unscoreable,0,,
E4|rt_new_stress|A|lgbm|seed404,404,rt_new_stress,A,lgbm,ok,12,0.317519288081853,0.6981530141252364
E4|rt_new_stress|A|logreg|seed404,404,rt_new_stress,A,logreg,ok,12,0.19906966290470612,0.7612126014903793
E4|rt_new_stress|B|lgbm|seed404,404,rt_new_stress,B,lgbm,ok,12,0.3210613881904224,0.6572301468134801
E4|rt_new_stress|B|logreg|seed404,404,rt_new_stress,B,logreg,ok,12,0.18287829735142694,0.8074741408074741
E4|rt_new_stress|C|lgbm|seed404,404,rt_new_stress,C,lgbm,ok,12,0.30474976244855667,0.6585821933044155
E4|rt_new_stress|C|logreg|seed404,404,rt_new_stress,C,logreg,ok,12,0.1951093146019806,0.8086350239128017
E4|rt_new_stress|C2|lgbm|seed404,404,rt_new_stress,C2,lgbm,ok,12,0.30709855565825234,0.6580608386163942
E4|rt_new_stress|C2|logreg|seed404,404,rt_new_stress,C2,logreg,ok,12,0.03778086782382555,0.8069666889111333
E4|rt_new_stress|C3|lgbm|seed404,404,rt_new_stress,C3,lgbm,ok,12,0.3210613881904224,0.6572301468134801
E4|rt_new_stress|C3|logreg|seed404,404,rt_new_stress,C3,logreg,ok,12,0.18288081905461923,0.8076201201201201
,505,propagation_vulnerability,,,unscoreable,0,,
E4|rt_new_stress|A|lgbm|seed505,505,rt_new_stress,A,lgbm,ok,20,0.10134112386577808,0.6329465776293822
E4|rt_new_stress|A|logreg|seed505,505,rt_new_stress,A,logreg,ok,20,0.2699132812394576,0.6286268781302171
E4|rt_new_stress|B|lgbm|seed505,505,rt_new_stress,B,lgbm,ok,20,0.10508248324640149,0.5219052587646077
E4|rt_new_stress|B|logreg|seed505,505,rt_new_stress,B,logreg,ok,20,0.20711615703245992,0.6037270450751252
E4|rt_new_stress|C|lgbm|seed505,505,rt_new_stress,C,lgbm,ok,20,0.10508545238013553,0.5220054257095159
E4|rt_new_stress|C|logreg|seed505,505,rt_new_stress,C,logreg,ok,20,0.21333206204553135,0.6269198664440735
E4|rt_new_stress|C2|lgbm|seed505,505,rt_new_stress,C2,lgbm,ok,20,0.20421303068291072,0.7900500834724542
E4|rt_new_stress|C2|logreg|seed505,505,rt_new_stress,C2,logreg,ok,20,0.2525394371073601,0.6247913188647746
E4|rt_new_stress|C3|lgbm|seed505,505,rt_new_stress,C3,lgbm,ok,20,0.03689531798674595,0.6516798831385642
E4|rt_new_stress|C3|logreg|seed505,505,rt_new_stress,C3,logreg,ok,20,0.15141192314801388,0.47925292153589316
E4|propagation_vulnerability|A|lgbm|seed606,606,propagation_vulnerability,A,lgbm,ok,3,0.16856795252946516,0.9514045177961157
E4|propagation_vulnerability|A|logreg|seed606,606,propagation_vulnerability,A,logreg,ok,3,0.012596881414085714,0.9870245339112556
