experiment_id,target,regime,model_spec,seed,pr_auc,roc_auc,n_trees,pos_test,n_unique_pred
imbalance|rt_new_stress|low_min_child|B|seed42,rt_new_stress,low_min_child,B,42,0.3129540700471057,0.42811352253756263,7,20,118
imbalance|rt_new_stress|low_min_child|B+P5_process|seed42,rt_new_stress,low_min_child,B+P5_process,42,0.31295412412958634,0.42815525876460775,7,20,117
imbalance|rt_new_stress|balanced+lowmin|B|seed42,rt_new_stress,balanced+lowmin,B,42,0.18747004684531535,0.6097579298831386,1,20,7
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed42,rt_new_stress,balanced+lowmin,B+P5_process,42,0.18747004684531535,0.6097579298831386,1,20,7
imbalance|rt_new_stress|default|B|seed101,rt_new_stress,default,B,101,0.154399456854929,0.6778942532576011,30,28,203
imbalance|rt_new_stress|default|B+P5_process|seed101,rt_new_stress,default,B+P5_process,101,0.16619023628172863,0.751542289150876,43,28,363
imbalance|rt_new_stress|balanced_weight|B|seed101,rt_new_stress,balanced_weight,B,101,0.07088220551378445,0.6873120614767793,1,28,7
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed101,rt_new_stress,balanced_weight,B+P5_process,101,0.07088220551378445,0.6873120614767793,1,28,7
imbalance|rt_new_stress|low_min_child|B|seed101,rt_new_stress,low_min_child,B,101,0.2877329185392021,0.7101227268388144,25,28,267
imbalance|rt_new_stress|low_min_child|B+P5_process|seed101,rt_new_stress,low_min_child,B+P5_process,101,0.2592059438295132,0.6701171781776526,10,28,138
imbalance|rt_new_stress|balanced+lowmin|B|seed101,rt_new_stress,balanced+lowmin,B,101,0.007472385861561119,0.6120322418977615,16,28,38
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed101,rt_new_stress,balanced+lowmin,B+P5_process,101,0.018300040355125103,0.6606247911794186,18,28,15
imbalance|rt_new_stress|default|B|seed202,rt_new_stress,default,B,202,0.24592772149711242,0.8528025876460766,10,20,107
imbalance|rt_new_stress|default|B+P5_process|seed202,rt_new_stress,default,B+P5_process,202,0.3192739032688513,0.8442842237061768,17,20,159
imbalance|rt_new_stress|balanced_weight|B|seed202,rt_new_stress,balanced_weight,B,202,0.007830993434625169,0.650517529215359,4,20,49
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed202,rt_new_stress,balanced_weight,B+P5_process,202,0.007830993434625169,0.650517529215359,4,20,49
imbalance|rt_new_stress|low_min_child|B|seed202,rt_new_stress,low_min_child,B,202,0.38335656345478325,0.7915901502504175,15,20,267
imbalance|rt_new_stress|low_min_child|B+P5_process|seed202,rt_new_stress,low_min_child,B+P5_process,202,0.33088445908789,0.7973956594323873,2,20,28
imbalance|rt_new_stress|balanced+lowmin|B|seed202,rt_new_stress,balanced+lowmin,B,202,0.040035714285714286,0.7650396494156928,1,20,6
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed202,rt_new_stress,balanced+lowmin,B+P5_process,202,0.040035714285714286,0.7650396494156928,1,20,6
imbalance|rt_new_stress|default|B|seed303,rt_new_stress,default,B,303,0.3278839005158108,0.8008959863150867,27,16,227
imbalance|rt_new_stress|default|B+P5_process|seed303,rt_new_stress,default,B+P5_process,303,0.33311221003601843,0.786233206775701,9,16,79
imbalance|rt_new_stress|balanced_weight|B|seed303,rt_new_stress,balanced_weight,B,303,0.01531490618857817,0.7113182159546061,3,16,30
