seed,n_pos,auc_exposure,auc_peer_stress,auc_liab_share,auc_own_buffer,liab_share_pos,liab_share_neg
42,17,0.5492483058293913,0.7260365301567049,0.06089184190148333,0.11521296329731674,0.002907466536716676,0.20535113330383442
101,20,0.390112551159618,0.6205292178262847,0.13332537517053206,0.19984083674397454,0.002673661572472027,0.20465746075051294
202,23,0.5674062825330632,0.8367501391537672,0.10299454952242823,0.10301630002244257,0.0035334669987154644,0.2103603260399947
303,11,0.41194596169703585,0.48768700439572704,0.1530940586386266,0.16169538252331678,0.0028706734462313585,0.20632201807751996
404,4,0.6755642558414401,0.9492965269569961,0.024203904900445494,0.040702563869442675,0.0026661991244398883,0.20463001875256948
505,15,0.5845121442916146,0.9531340229623735,0.05426319578644235,0.11230949945057027,0.0015540909843422298,0.20395138267106347
606,17,0.15355130525029057,0.30097992406156926,0.03784884801748269,0.0639003572235797,0.00037198712821962475,0.2096604400199561
707,19,0.3881724045909777,0.5362740369944438,0.20765904894338344,0.20315471154409978,0.041378985258962504,0.2060218116338964
808,4,0.13288423947631603,0.5327643422129285,0.014256977907082462,0.015973043003909445,0.0006665921458128645,0.20422040450960816
909,23,0.5166979577269145,0.7540067881333227,0.09886788647425383,0.147052164619648,0.005593962672197118,0.2060663140594851
1201,21,0.4014968182866498,0.6287676261072654,0.17830263145072486,0.14103267901671684,0.0040542123136001786,0.20688800100129123
1302,24,0.5870839586744285,0.9072870239827785,0.08623216830392336,0.11932645079134073,0.0017690264065205004,0.2089223209427167
1403,8,0.39400913802509546,0.8937548304237134,0.022481360247317693,0.03983110565557374,0.0011218494887431706,0.20266353359853512
1504,30,0.41678417102569937,0.7058376923660071,0.07078917443711621,0.05531612463042984,0.001453950815789211,0.20801260385996828
1605,17,0.2927695326135365,0.5400188040566476,0.043135650003811636,0.066346489485911,0.002417723786010189,0.20768696406057757
1706,4,0.517697631602873,0.9754295845076825,0.019277320665515046,0.030735748704427676,0.0005781223881907848,0.20378553492972695
1807,7,0.47078593672369956,0.6303860029680046,0.14038921776516394,0.15793421680721934,0.002740319431668257,0.2061061996450714
1908,28,0.45529379085392,0.8199637594053358,0.09422270340866265,0.07767686579771543,0.0014928541661389564,0.21007745966143404
2009,14,0.435585023806276,0.5912327623724432,0.22186929607472508,0.21660463394196855,0.010732487131172192,0.2055914903524096
2110,27,0.6227474603523543,0.9185973547740995,0.037478385305461014,0.07133923089168354,0.002389694585896263,0.2068415845069555
