seed,mean,sd,median,p75,p90,p99,mx,frac_zero,frac_below_1e3,skew,kurt,top1pct_share,gini_group
42,0.007123658226420816,0.023166978422712464,0.00021788932286183937,0.0004281122570204739,0.00872636769211938,0.1006483194260348,0.2722171646276216,0.12427884615384616,0.8938461538461538,4.1236267859554125,22.07211874962491,0.19407652503032158,0.7927795200564192
101,0.007083092752198761,0.02668239888247746,0.0002166887662984303,0.0004282807566754618,0.0007089003726154211,0.13429154368857066,0.3100366507008057,0.1230448717948718,0.9070192307692307,5.452223382686649,38.09737324531271,0.2725910900454664,0.8265439883898797
202,0.00646398501984065,0.02389366750702474,0.0002545223165145705,0.000422357004367921,0.0007327050037717414,0.10742322906376978,0.5016928046685024,0.12291666666666666,0.9030929487179488,6.387448623340381,75.25862466126404,0.23000348958864647,0.8114304859741668
303,0.007417988433963025,0.023039273383626425,0.000251863533834187,0.00046719314944319347,0.01853270089663907,0.10311924497033949,0.21776387205718953,0.12528846153846154,0.8874519230769231,3.5553121439501463,13.47469928679462,0.17844648783681136,0.7910408921561234
404,0.007319855948074585,0.02121153041968012,0.00022108251707513542,0.00044957907681266146,0.04010087990027687,0.09105543860331651,0.25865656668310333,0.12661858974358975,0.8795512820512821,3.1082104614621247,9.923669946994766,0.14989576866942309,0.7725284736902416
505,0.006641836458442535,0.021649953326283323,0.00018330074023968754,0.0003753118717444874,0.008004276169916667,0.09790073989081514,0.22587504787065157,0.12397435897435898,0.8949679487179487,3.949070979073483,18.764316454971745,0.1910439285648352,0.7905345877828618
606,0.008450406638368236,0.027648014517283753,0.0003048474370735971,0.0005519106971011564,0.026680154693089132,0.12845486896249642,0.4714281076451187,0.12862179487179487,0.877948717948718,5.241695216579749,43.734027850299945,0.22239610935361917,0.7801037699466904
707,0.007933059011401924,0.022729441241137873,0.00024696350259202475,0.0004763633764914056,0.042908875308951364,0.09203116161144297,0.20882184439056184,0.12865384615384615,0.875224358974359,3.2669773289410395,11.99682409679095,0.15356271795839016,0.7611662362828593
808,0.005039481192290161,0.02019494031384914,0.00014721812035251532,0.0002864918323856329,0.0004265839357438067,0.09836478212413496,0.29006097240753814,0.11591346153846153,0.92375,5.256284750360981,35.62105409125204,0.26937986875031456,0.8459818517278002
909,0.007664815779946746,0.025774668957830295,0.00024231888392844473,0.00044746074693827415,0.01066769595975085,0.13555783078165637,0.3712733185471406,0.12782051282051282,0.8927884615384616,4.405191960464129,24.465815323894493,0.2217946071433377,0.7985113024020518
1201,0.007683330405651395,0.026345096994701653,0.0002861907087516835,0.0005165869247213963,0.014132976508584218,0.11093362365889708,0.5546743074226635,0.12575320512820512,0.8902724358974359,5.939725815332417,63.23280423657771,0.22545425146542122,0.8085092314918063
1302,0.007706271904603298,0.025970605457118878,0.00026003654364306183,0.0004898824798926449,0.024815922371613647,0.10571781401871205,0.4516142731893768,0.12833333333333333,0.8895833333333333,5.415593837242257,45.934826742134376,0.22710348577253803,0.7870267209482644
1403,0.006561456848770212,0.021247510105265148,0.00019003044407160023,0.00037564717407348247,0.015565585089599147,0.09521219314710544,0.21136790539900366,0.1230448717948718,0.897051282051282,3.859298855106306,17.252360372753834,0.18732110870512073,0.7932713101390281
1504,0.008353495059628596,0.026562562637743193,0.0002762425022696369,0.0004975286562140227,0.02482714739856118,0.12627871583420028,0.3393128275888681,0.13,0.877676282051282,4.2298753273920475,23.037013141991338,0.20235576455054588,0.7606259277592395
1605,0.007576464281876593,0.026969291992283234,0.0002657765574979365,0.0004747887454410592,0.004301544815023815,0.14105451392832288,0.34287711086924705,0.1269871794871795,0.8960737179487179,5.011698616844544,31.938955927091204,0.25295349988677956,0.8061143709385616
1706,0.005574846571192838,0.018972837943903902,0.0001645356400342643,0.00030168978999559493,0.0005083055848735779,0.08594566649160201,0.20867301682915076,0.11918269230769231,0.9113301282051282,3.7798386025375086,15.683290142441356,0.1849763783344748,0.8120411363438234
1807,0.0056842895027857865,0.020967735194518052,0.00018870939613905617,0.00036045625477012784,0.0005513598364298932,0.09764753107953605,0.32699843667543077,0.11951923076923077,0.9142467948717948,5.122053727267383,36.07942098536111,0.24647270419994743,0.8369042887284963
1908,0.008557295009633639,0.026408469255351903,0.0002432731301885614,0.0005230675572510638,0.02923079856938851,0.11864922047356873,0.36099490560577263,0.13145833333333334,0.872676282051282,3.9833757501257265,20.519442739382708,0.18447346881443671,0.7452098771413143
2009,0.00846160982886977,0.027882677243539607,0.0003029243766992504,0.000540768490436097,0.03198046961898501,0.10617903831140368,0.46468088047320016,0.13017628205128204,0.8779807692307692,5.652796016450382,49.47442061387603,0.22105750573426566,0.7860823808052562
2110,0.005511439829614585,0.02325259045761182,0.00017565848449377404,0.00031950912955930875,0.0004760801147339147,0.10314264339058928,0.5026999316075789,0.11899038461538461,0.9205128205128205,7.420750970092451,88.87930392386058,0.2956309670737712,0.842101613926526
